Category,Store,Value
Raisin Bran,Costco,0.36
Raisin Bran,Target,1.00
Raisin Bran,QFC,0.97	
Raisin Bran,Whole Foods,1.49
Raisin Bran,Fred Mayer,0.67		
Cheerios,Costco,0.40
Cheerios,Target,0.88
Cheerios,QFC,1.12
Cheerios,Whole Foods,1.39
Cheerios,Fred Mayer,0.72		
Fruit Loops,Costco,0.45
Fruit Loops,Target,0.95
Fruit Loops,QFC,2.33
Fruit Loops,Whole Foods,1.34
Fruit Loops,Fred Mayer,0.68		
Frosted Flakes,Costco,0.34
Frosted Flakes,Target,0.82
Frosted Flakes,QFC,0.75
Frosted Flakes,Whole Foods,1.41
Frosted Flakes,Fred Mayer,0.72